Alkane,tR_s,width_ms
C9,14.50826,69.07538
C10,18.12826,60.28971
C11,21.04826,57.35398
C12,23.66826,63.37898
C13,26.12827,66.57991
C14,28.44828,63.89132
C15,30.68827,64.24066
C16,32.80826,63.63544
C17,34.84827,65.78581
C18,36.80826,66.85936
C19,38.70826,68.63646
C20,40.52826,68.52206
C21,42.28827,71.57205
C22,43.96826,72.73999
C23,45.60827,73.54886
C24,47.18826,75.81763
C25,48.74827,79.65101
C26,50.22826,80.68829
C27,51.66826,85.80177
C28,53.08826,91.46906
C29,54.50826,94.96112
C30,55.90827,109.01812
